시도,시군구,행정구역,계_연장,광로_연장,대로_연장,중로_연장,소로_연장,소로_비율
서울특별시,종로구,서울특별시_종로구,136338,20888,37899,36136,41415,0.303767108
서울특별시,중구,서울특별시_중구,114135,7593,17001,38410,51131,0.447987033
서울특별시,용산구,서울특별시_용산구,195425,9135,38997,40205,107088,0.547974926
서울특별시,성동구,서울특별시_성동구,114288,4506,36520,40335,32927,0.288105488
서울특별시,광진구,서울특별시_광진구,315872,2050,69286,11923,232613,0.736415383
서울특별시,동대문구,서울특별시_동대문구,108238,1800,34389,34290,37759,0.348851605
서울특별시,중랑구,서울특별시_중랑구,190701,0,48824,39648,102229,0.536069554
서울특별시,성북구,서울특별시_성북구,323357,350,117602,104723,100682,0.311364838
서울특별시,강북구,서울특별시_강북구,98831,490,15583,28208,54550,0.551952323
서울특별시,도봉구,서울특별시_도봉구,177913,5760,15278,8944,147931,0.831479431
서울특별시,노원구,서울특별시_노원구,150112,0,45770,31051,73291,0.488242113
서울특별시,은평구,서울특별시_은평구,116283,2481,26779,43388,43635,0.375248317
서울특별시,서대문구,서울특별시_서대문구,192081,12980,65505,27832,85764,0.446499133
서울특별시,마포구,서울특별시_마포구,446870,10788,48109,55905,332068,0.743097545
서울특별시,양천구,서울특별시_양천구,3338969,303000,657500,252273,2126196,0.636782192
서울특별시,강서구,서울특별시_강서구,233293,26106,63948,50703,92536,0.396651421
서울특별시,구로구,서울특별시_구로구,136314,46896,17272,28010,44136,0.323781857
서울특별시,금천구,서울특별시_금천구,98427,3050,39611,44424,11342,0.115232609
서울특별시,영등포구,서울특별시_영등포구,168938,11887,57127,45834,54090,0.320176633
서울특별시,동작구,서울특별시_동작구,182864,8710,38427,57216,78511,0.429340931
서울특별시,관악구,서울특별시_관악구,326651,17404,26335,34549,248363,0.760331363
서울특별시,서초구,서울특별시_서초구,168891,37890,37194,40863,52944,0.313480292
서울특별시,강남구,서울특별시_강남구,333368,38720,54870,52873,186905,0.560656692
서울특별시,송파구,서울특별시_송파구,294586,21956,64055,102968,105607,0.358492936
서울특별시,강동구,서울특별시_강동구,188347,14290,33293,86725,54039,0.286911923
부산광역시,중구,부산광역시_중구,20526,0,0,8355,12171,0.592955276
부산광역시,서구,부산광역시_서구,80309,0,0,42274,38035,0.473608188
부산광역시,동구,부산광역시_동구,83164,0,0,46352,36812,0.442643451
부산광역시,영도구,부산광역시_영도구,88535,0,0,30833,57702,0.651742249
부산광역시,부산진구,부산광역시_부산진구,228231,0,0,70210,158021,0.692373078
부산광역시,동래구,부산광역시_동래구,90445,0,0,52573,37872,0.418729615
부산광역시,남구,부산광역시_남구,103237,0,0,53483,49754,0.481939615
부산광역시,북구,부산광역시_북구,106012,0,0,43015,62997,0.594244048
부산광역시,해운대구,부산광역시_해운대구,157410,0,0,95207,62203,0.395165491
부산광역시,사하구,부산광역시_사하구,161864,0,0,64869,96995,0.599237632
부산광역시,금정구,부산광역시_금정구,199661,0,0,77487,122174,0.611907183
부산광역시,강서구,부산광역시_강서구,577368,2785,31729,261808,281046,0.486771002
부산광역시,연제구,부산광역시_연제구,52200,0,0,30404,21796,0.417547893
부산광역시,수영구,부산광역시_수영구,126559,0,0,39962,86597,0.684242132
부산광역시,사상구,부산광역시_사상구,164644,0,0,43610,121034,0.735125483
부산광역시,기장군,부산광역시_기장군,585841,0,0,260590,325251,0.555186476
대구광역시,중구,대구광역시_중구,91335,0,1116,20341,69878,0.76507363
대구광역시,동구,대구광역시_동구,440467,0,0,117141,323326,0.734052721
대구광역시,서구,대구광역시_서구,153337,0,0,12614,140723,0.91773675
대구광역시,남구,대구광역시_남구,134558,0,0,22876,111682,0.829991528
대구광역시,북구,대구광역시_북구,339382,0,0,68778,270604,0.797343407
대구광역시,수성구,대구광역시_수성구,213870,0,0,47876,165994,0.776144387
대구광역시,달서구,대구광역시_달서구,332593,0,0,69014,263579,0.792497136
대구광역시,달성군,대구광역시_달성군,597819,0,0,136944,460875,0.770927321
인천광역시,중구,인천광역시_중구,107728,0,0,58475,49253,0.457197757
인천광역시,동구,인천광역시_동구,41652,0,0,19175,22477,0.539637953
인천광역시,남구,인천광역시_남구,256538,6616,32436,59963,157523,0.614033788
인천광역시,연수구,인천광역시_연수구,127151,0,0,44849,82302,0.647277646
인천광역시,남동구,인천광역시_남동구,371644,0,0,118613,253031,0.680842419
인천광역시,부평구,인천광역시_부평구,509748,0,0,75037,434711,0.852795891
인천광역시,계양구,인천광역시_계양구,223412,0,0,74565,148847,0.666244427
인천광역시,서구,인천광역시_서구,497016,0,6569,259135,231312,0.465401516
인천광역시,강화군,인천광역시_강화군,76559,0,0,31178,45381,0.592758526
인천광역시,옹진군,인천광역시_옹진군,3964,0,0,0,3964,1
광주광역시,동구,광주광역시_동구,123638,0,0,27702,95936,0.775942671
광주광역시,서구,광주광역시_서구,225486,0,0,51892,173594,0.769865978
광주광역시,남구,광주광역시_남구,233404,0,0,41701,191703,0.821335538
광주광역시,북구,광주광역시_북구,440298,0,0,77644,362654,0.823655797
광주광역시,광산구,광주광역시_광산구,459839,0,0,147746,312093,0.678700589
대전광역시,동구,대전광역시_동구,286220,0,0,69053,217167,0.758741527
대전광역시,중구,대전광역시_중구,244088,0,0,65169,178919,0.733010226
대전광역시,서구,대전광역시_서구,322470,0,0,66717,255753,0.793106335
대전광역시,유성구,대전광역시_유성구,526905,0,0,64440,462465,0.877700914
대전광역시,대덕구,대전광역시_대덕구,260267,0,0,72854,187413,0.720079764
울산광역시,중구,울산광역시_중구,234359,0,0,33292,201067,0.857944436
울산광역시,남구,울산광역시_남구,311490,0,0,73243,238247,0.764862435
