시도,시군구,행정구역,용도지역별,항목,단위,2016 년,2017 년,2018 년,2019 년,2020 년
서울특별시,종로구,서울특별시_종로구,도시지역,면적,㎡,23972507,23971709,23972507,23972507,23972507
서울특별시,종로구,서울특별시_종로구,주거지역,면적,㎡,9830557,9830557,9830557,9830557,9830838
서울특별시,종로구,서울특별시_종로구,주거지역,비율,%,41.01,41.01,41.01,41.01,41.01
서울특별시,종로구,서울특별시_종로구,전용주거_계,면적,㎡,1589410,1589410,1589410,1589410,1589410
서울특별시,종로구,서울특별시_종로구,전용주거_1종,면적,㎡,1589410,1589410,1589410,1589410,1589410
서울특별시,종로구,서울특별시_종로구,전용주거_2종,면적,㎡,0,0,0,0,0
서울특별시,종로구,서울특별시_종로구,일반주거지역_계,면적,㎡,8042048,8042048,8042048,8042048,8042329
서울특별시,종로구,서울특별시_종로구,일반주거지역_1종,면적,㎡,4318554,4376181,4376181,4376181,4376462
서울특별시,종로구,서울특별시_종로구,일반주거지역_2종,면적,㎡,2960175,2903253,2903253,2903253,2903253
서울특별시,종로구,서울특별시_종로구,일반주거지역_3종,면적,㎡,763319,762614,762614,762614,762614
서울특별시,종로구,서울특별시_종로구,준주거지역,면적,㎡,199099,199099,199099,199099,199099
서울특별시,종로구,서울특별시_종로구,상업지역,면적,㎡,2937285,2937285,2937285,2937285,2937285
서울특별시,종로구,서울특별시_종로구,상업지역,비율,%,12.25,12.25,12.25,12.25,12.25
서울특별시,종로구,서울특별시_종로구,중심상업,면적,㎡,0,0,0,0,0
서울특별시,종로구,서울특별시_종로구,일반상업,면적,㎡,2937285,2937285,2937285,2937285,2937285
서울특별시,종로구,서울특별시_종로구,근린상업,면적,㎡,0,0,0,0,0
서울특별시,종로구,서울특별시_종로구,유통상업,면적,㎡,0,0,0,0,0
서울특별시,종로구,서울특별시_종로구,공업지역,면적,㎡,0,0,0,0,0
서울특별시,종로구,서울특별시_종로구,공업지역,비율,%,0,0,0,0,0
서울특별시,종로구,서울특별시_종로구,전용공업,면적,㎡,0,0,0,0,0
서울특별시,종로구,서울특별시_종로구,일반공업,면적,㎡,0,0,0,0,0
서울특별시,종로구,서울특별시_종로구,준공업,면적,㎡,0,0,0,0,0
서울특별시,종로구,서울특별시_종로구,녹지지역,면적,㎡,11204665,11203867,11204665,11204665,11204384
서울특별시,종로구,서울특별시_종로구,녹지지역,비율,%,46.74,46.74,46.74,46.74,46.74
서울특별시,종로구,서울특별시_종로구,보전녹지,면적,㎡,0,0,0,0,0
서울특별시,종로구,서울특별시_종로구,자연녹지,면적,㎡,11204665,11203867,11204665,11204665,11204384
서울특별시,종로구,서울특별시_종로구,생산녹지,면적,㎡,0,0,0,0,0
서울특별시,종로구,서울특별시_종로구,미지정지역,면적,㎡,0,0,0,0,0
서울특별시,종로구,서울특별시_종로구,미지정지역,비율,%,0,0,0,0,0
서울특별시,중구,서울특별시_중구,도시지역,면적,㎡,9970000,9974292,9974292,9974292,9974292
서울특별시,중구,서울특별시_중구,주거지역,면적,㎡,6328403,6037439,6037439,6037439,6037439
서울특별시,중구,서울특별시_중구,주거지역,비율,%,63.47,60.53,60.53,60.53,60.53
서울특별시,중구,서울특별시_중구,전용주거_계,면적,㎡,0,0,0,0,0
서울특별시,중구,서울특별시_중구,전용주거_1종,면적,㎡,0,0,0,0,0
서울특별시,중구,서울특별시_중구,전용주거_2종,면적,㎡,0,0,0,0,0
서울특별시,중구,서울특별시_중구,일반주거지역_계,면적,㎡,6036944,5764992,5764992,5764992,5764992
서울특별시,중구,서울특별시_중구,일반주거지역_1종,면적,㎡,2745061,2767697,2767697,2767697,2767697
서울특별시,중구,서울특별시_중구,일반주거지역_2종,면적,㎡,2081425,1825554,1825554,1825554,1825554
서울특별시,중구,서울특별시_중구,일반주거지역_3종,면적,㎡,1210458,1171741,1171741,1171741,1171741
서울특별시,중구,서울특별시_중구,준주거지역,면적,㎡,291459,272447,272447,272447,272447
서울특별시,중구,서울특별시_중구,상업지역,면적,㎡,3616462,3911718,3911718,3911718,3911718
서울특별시,중구,서울특별시_중구,상업지역,비율,%,36.27,39.22,39.22,39.22,39.22
서울특별시,중구,서울특별시_중구,중심상업,면적,㎡,322816,321414,321414,321414,321414
서울특별시,중구,서울특별시_중구,일반상업,면적,㎡,3293646,3590304,3590304,3590304,3590304
서울특별시,중구,서울특별시_중구,근린상업,면적,㎡,0,0,0,0,0
서울특별시,중구,서울특별시_중구,유통상업,면적,㎡,0,0,0,0,0
서울특별시,중구,서울특별시_중구,공업지역,면적,㎡,0,0,0,0,0
서울특별시,중구,서울특별시_중구,공업지역,비율,%,0,0,0,0,0
서울특별시,중구,서울특별시_중구,전용공업,면적,㎡,0,0,0,0,0
서울특별시,중구,서울특별시_중구,일반공업,면적,㎡,0,0,0,0,0
서울특별시,중구,서울특별시_중구,준공업,면적,㎡,0,0,0,0,0
서울특별시,중구,서울특별시_중구,녹지지역,면적,㎡,25135,25135,25135,25135,25135
서울특별시,중구,서울특별시_중구,녹지지역,비율,%,0.25,0.25,0.25,0.25,0.25
서울특별시,중구,서울특별시_중구,보전녹지,면적,㎡,0,0,0,0,0
서울특별시,중구,서울특별시_중구,자연녹지,면적,㎡,25135,25135,25135,25135,25135
서울특별시,중구,서울특별시_중구,생산녹지,면적,㎡,0,0,0,0,0
서울특별시,중구,서울특별시_중구,미지정지역,면적,㎡,0,0,0,0,0
서울특별시,중구,서울특별시_중구,미지정지역,비율,%,0,0,0,0,0
서울특별시,용산구,서울특별시_용산구,도시지역,면적,㎡,21870000,21898766,21870000,21870000,21870000
서울특별시,용산구,서울특별시_용산구,주거지역,면적,㎡,11342525,12123596,11347805,11337245,11337245
서울특별시,용산구,서울특별시_용산구,주거지역,비율,%,51.86,55.36,51.89,51.84,51.84
서울특별시,용산구,서울특별시_용산구,전용주거_계,면적,㎡,268470,224153,268470,268470,268470
서울특별시,용산구,서울특별시_용산구,전용주거_1종,면적,㎡,268470,224153,268470,268470,268470
서울특별시,용산구,서울특별시_용산구,전용주거_2종,면적,㎡,0,0,0,0,0
서울특별시,용산구,서울특별시_용산구,일반주거지역_계,면적,㎡,10578992,11396125,10584272,10575493,10575493
서울특별시,용산구,서울특별시_용산구,일반주거지역_1종,면적,㎡,3884176,4145163,3892304,3869580,3869580
서울특별시,용산구,서울특별시_용산구,일반주거지역_2종,면적,㎡,4064767,4421668,4049471,4088312,4088312
서울특별시,용산구,서울특별시_용산구,일반주거지역_3종,면적,㎡,2630049,2829294,2642497,2617601,2617601
서울특별시,용산구,서울특별시_용산구,준주거지역,면적,㎡,495063,503318,495063,493282,493282
서울특별시,용산구,서울특별시_용산구,상업지역,면적,㎡,1552213,1245008,1546933,1557493,1557493
