No,기관코드,기관명,요양번호,기관분류,의료기관분류,지역,기관주소(도로명),시도,시군구,행정구역,x,y
1,A1300002,경북대학교병원,37100017,상급종합병원,권역응급의료센터,대구,"대구광역시 중구 동덕로 130, (삼덕동2가,경북대학교병원)",대구광역시,중구,대구광역시_중구,128.6048832,35.8661467
2,A2400002,단국대학교의과대학부속병원,34100199,상급종합병원,권역응급의료센터,충남,"충청남도 천안시 동남구 망향로 201, (안서동, 단국대학교의과대학부속병원)",충청남도,천안시,충청남도_천안시,127.1731408,36.8425153
3,A1200002,부산대학교병원,21100021,상급종합병원,권역응급의료센터,부산,"부산광역시 서구 구덕로 179, (아미동1가,부산대학병원)",부산광역시,서구,부산광역시_서구,129.0185286,35.1006799
4,A2100001,분당서울대학교병원,31100813,상급종합병원,권역응급의료센터,경기,"경기도 성남시 분당구 구미로173번길 82, (구미동)",경기도,성남시,경기도_성남시,127.1245328,37.350307
5,A1100017,서울대학교병원,11100079,상급종합병원,권역응급의료센터,서울,"서울특별시 종로구 대학로 101, (연건동)",서울특별시,종로구,서울특별시_종로구,126.9992297,37.5788566
6,A2100002,아주대학교병원,31100473,상급종합병원,권역응급의료센터,경기,"경기도 수원시 영통구 월드컵로 164, (원천동)",경기도,수원시,경기도_수원시,127.0477479,37.2795738
7,A2200001,연세대학교원주세브란스기독병원,32100035,상급종합병원,권역응급의료센터,강원,"강원도 원주시 일산로 20, (일산동)",강원도,원주시,강원도_원주시,127.9459235,37.3487492
8,A1400001,의료법인길의료재단길병원,31100309,상급종합병원,권역응급의료센터,인천,"인천광역시 남동구 남동대로774번길 21, (구월동)",인천광역시,남동구,인천광역시_남동구,126.7092242,37.4521151
9,A1500002,전남대학교병원,36100013,상급종합병원,권역응급의료센터,광주,"광주광역시 동구 제봉로 42, (학동)",광주광역시,동구,광주광역시_동구,126.9222241,35.1413793
10,A2500002,전북대학교병원,35100010,상급종합병원,권역응급의료센터,전북,"전라북도 전주시 덕진구 건지로 20, (금암동)",전라북도,전주시,전라북도_전주시,127.1399675,35.8473763
11,A1600001,충남대학교병원,34100016,상급종합병원,권역응급의료센터,대전,대전광역시 중구 문화로 282 충남대학교병원,대전광역시,중구,대전광역시_중구,127.4160785,36.3166222
12,A2300001,충북대학교병원,33100128,상급종합병원,권역응급의료센터,충북,"충청북도 청주시 서원구 1순환로 776, (개신동)",충청북도,청주시,충청북도_청주시,127.458261,36.6264471
13,A1700004,학교법인울산공업학원울산대학교병원,38100231,상급종합병원,권역응급의료센터,울산,"울산광역시 동구 방어진순환도로 877, (전하동)",울산광역시,동구,울산광역시_동구,129.428505,35.5201283
14,A1500001,조선대학교병원,36100021,상급종합병원,전문응급의료센터,광주,"광주광역시 동구 필문대로 365, (학동)",광주광역시,동구,광주광역시_동구,126.9261655,35.1387281
15,A1100008,(학)고려중앙학원고려대학교의과대학부속병원(안암병원),11100117,상급종합병원,지역응급의료센터,서울,"서울특별시 성북구 인촌로 73, (안암동5가)",서울특별시,성북구,서울특별시_성북구,127.0269126,37.5874046
16,A1200001,(학교법인)인제대학교부산백병원,21100063,상급종합병원,지역응급의료센터,부산,부산광역시 부산진구 복지로 75 (개금동),부산광역시,부산진구,부산광역시_부산진구,129.0206944,35.1459388
17,A1400012,가톨릭대학교인천성모병원,31100031,상급종합병원,지역응급의료센터,인천,"인천광역시 부평구 동수로 56, (부평동)",인천광역시,부평구,인천광역시_부평구,126.7250301,37.4843904
18,A1100002,건국대학교병원,11100435,상급종합병원,지역응급의료센터,서울,"서울특별시 광진구 능동로 120-1, (화양동)",서울특별시,광진구,서울특별시_광진구,127.0719694,37.5405799
19,A2800001,경상대학교병원,38100215,상급종합병원,지역응급의료센터,경남,"경상남도 진주시 강남로 79, (칠암동,경상대학교병원)",경상남도,진주시,경상남도_진주시,128.0951433,35.1760806
20,A1100001,경희대학교병원,11100168,상급종합병원,지역응급의료센터,서울,"서울특별시 동대문구 경희대로 23, (회기동)",서울특별시,동대문구,서울특별시_동대문구,127.052384,37.5949193
21,A1300003,계명대학교동산병원,37100025,상급종합병원,지역응급의료센터,대구,"대구광역시 중구 달성로 56, (동산동,계명대학교동산의료원)",대구광역시,중구,대구광역시_중구,128.5833659,35.8688399
22,A1100014,고려대의과대학부속구로병원,11100494,상급종합병원,지역응급의료센터,서울,"서울특별시 구로구 구로동로 148, (구로동)",서울특별시,구로구,서울특별시_구로구,126.8850254,37.4918565
23,A2100003,고려대의과대학부속안산병원,31100252,상급종합병원,지역응급의료센터,경기,"경기도 안산시 단원구 적금로 123, (고잔동)",경기도,안산시,경기도_안산시,126.8251472,37.3190858
24,A1200004,고신대학교복음병원,21100039,상급종합병원,지역응급의료센터,부산,"부산광역시 서구 감천로 262, (암남동)",부산광역시,서구,부산광역시_서구,129.0134311,35.0813966
25,A1300004,대구가톨릭대학교병원,37100092,상급종합병원,지역응급의료센터,대구,"대구광역시 남구 두류공원로17길 33, (대명동)",대구광역시,남구,대구광역시_남구,128.5673839,35.8435443
26,A1200003,동아대학교병원,21100390,상급종합병원,지역응급의료센터,부산,"부산광역시 서구 대신공원로 26, 동아대학교병원 (동대신동3가)",부산광역시,서구,부산광역시_서구,129.0181589,35.1203425
27,A1100010,삼성서울병원,11100958,상급종합병원,지역응급의료센터,서울,"서울특별시 강남구 일원로 81, (일원동)",서울특별시,강남구,서울특별시_강남구,127.0869724,37.4887151
28,A1100006,삼성의료재단강북삼성병원,11100095,상급종합병원,지역응급의료센터,서울,"서울특별시 종로구 새문안로 29, (평동)",서울특별시,종로구,서울특별시_종로구,126.9673698,37.5683104
29,A2800011,양산부산대학교병원,38100509,상급종합병원,지역응급의료센터,경남,"경상남도 양산시 물금읍 금오로 20, (양산부산대학교병원)",경상남도,양산시,경상남도_양산시,129.0061978,35.3274449
30,A1100015,연세대학교의과대학강남세브란스병원,11100443,상급종합병원,지역응급의료센터,서울,"서울특별시 강남구 언주로 211, (도곡동)",서울특별시,강남구,서울특별시_강남구,127.0464852,37.4926753
31,A1300001,영남대학교병원,37100149,상급종합병원,지역응급의료센터,대구,"대구광역시 남구 현충로 170, (대명동,영남대학교의료원)",대구광역시,남구,대구광역시_남구,128.5848113,35.8470209
32,A2500001,원광대학교의과대학병원,35100061,상급종합병원,지역응급의료센터,전북,"전라북도 익산시 무왕로 895, (신동)",전라북도,익산시,전라북도_익산시,126.9594563,35.9659633
33,A1100005,이화여자대학교의과대학부속목동병원,11100915,상급종합병원,지역응급의료센터,서울,"서울특별시 양천구 안양천로 1071, (목동)",서울특별시,양천구,서울특별시_양천구,126.8866836,37.5362932
34,A1400002,인하대학교의과대학부속병원,31100554,상급종합병원,지역응급의료센터,인천,"인천광역시 중구 인항로 27, (신흥동3가)",인천광역시,중구,인천광역시_중구,126.6340935,37.458704
35,A1100009,재단법인아산사회복지재단서울아산병원,11100800,상급종합병원,지역응급의료센터,서울,"서울특별시 송파구 올림픽로43길 88, (풍납동,서울아산병원)",서울특별시,송파구,서울특별시_송파구,127.1097067,37.5263455
36,A1100003,중앙대학교병원,11100052,상급종합병원,지역응급의료센터,서울,"서울특별시 동작구 흑석로 102, (흑석동)",서울특별시,동작구,서울특별시_동작구,126.9605696,37.506962
37,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,11100338,상급종합병원,지역응급의료센터,서울,"서울특별시 서초구 반포대로 222, (반포동)",서울특별시,서초구,서울특별시_서초구,127.0055016,37.5004919
38,A2100005,학교법인동은학원순천향대학교부속부천병원,31100767,상급종합병원,지역응급의료센터,경기,"경기도 부천시 원미구 조마루로 170, (중동)",경기도,부천시,경기도_부천시,126.7626598,37.4980717
39,A2400001,학교법인동은학원순천향대학교부속천안병원,34100296,상급종합병원,지역응급의료센터,충남,충청남도 천안시 동남구 순천향6길 31 (봉명동),충청남도,천안시,충청남도_천안시,127.1360254,36.8029518
40,A1100007,학교법인연세대학교의과대학세브란스병원,11100206,상급종합병원,지역응급의료센터,서울,서울특별시 서대문구 연세로 50-1,서울특별시,서대문구,서울특별시_서대문구,126.9397435,37.5615511
41,A2100004,한림대학교성심병원,31100627,상급종합병원,지역응급의료센터,경기,"경기도 안양시 동안구 관평로170번길 22, (평촌동)",경기도,안양시,경기도_안양시,126.9619495,37.3916394
42,A1100013,한양대학교병원,11100184,상급종합병원,지역응급의료센터,서울,서울특별시 성동구 왕십리로 222-1,서울특별시,성동구,서울특별시_성동구,127.0437999,37.5586733
43,A2600001,화순전남대학교병원,36100498,상급종합병원,지역응급의료센터,전남,"전라남도 화순군 화순읍 서양로 322,",전라남도,화순군,전라남도_화순군,127.0021976,35.059631
44,A2100040,가톨릭대학교의정부성모병원,31100295,종합병원,권역응급의료센터,경기,"경기도 의정부시 천보로 271, (금오동)",경기도,의정부시,경기도_의정부시,127.0779677,37.7586493
45,A2200008,강릉아산병원,32100191,종합병원,권역응급의료센터,강원,"강원도 강릉시 사천면 방동길 38,",강원도,강릉시,강원도_강릉시,128.8578312,37.8184118
46,A2600011,목포한국병원,36100439,종합병원,권역응급의료센터,전남,"전라남도 목포시 영산로 483, (상동)",전라남도,목포시,전라남도_목포시,126.4164313,34.8089329
47,A2100042,의료법인명지의료재단명지병원,31100376,종합병원,권역응급의료센터,경기,"경기도 고양시 덕양구 화수로14번길 55, (화정동)",경기도,고양시,경기도_고양시,126.8306261,37.6421981
48,A2700014,의료법인안동병원,37100122,종합병원,권역응급의료센터,경북,경상북도 안동시 앙실로 11 (수상동),경상북도,안동시,경상북도_안동시,128.7011385,36.5466703
49,A2900001,제주한라병원,39100022,종합병원,권역응급의료센터,제주,"제주특별자치도 제주시 도령로 65, (연동)",제주특별자치도,제주시,제주특별자치도_제주시,126.4850412,33.4899163
50,A2800020,학교법인성균관대학삼성창원병원,38100525,종합병원,권역응급의료센터,경남,"경상남도 창원시 마산회원구 팔용로 158, (합성동)",경상남도,창원시,경상남도_창원시,128.5922622,35.2425828
51,A1100038,한림대학교한강성심병원,11100257,종합병원,전문응급의료센터,서울,"서울특별시 영등포구 버드나루로7길 12, (영등포동7가,한강성심병원)",서울특별시,영등포구,서울특별시_영등포구,126.9096854,37.5231725
52,A2100019,(의)영문의료재단다보스병원,31100953,종합병원,지역응급의료센터,경기,"경기도 용인시 처인구 백옥대로1082번길 18, (김량장동)",경기도,용인시,경기도_용인시,127.2113646,37.2314508
53,A1400015,가톨릭관동대국제성모병원,31101186,종합병원,지역응급의료센터,인천,인천광역시 서구 심곡로100번길 25 (심곡동),인천광역시,서구,인천광역시_서구,126.6835684,37.5423217
54,A2100052,가톨릭대학교부천성모병원,31100210,종합병원,지역응급의료센터,경기,"경기도 부천시 원미구 소사로 327, (소사동)",경기도,부천시,경기도_부천시,126.7928281,37.4870849
55,A1100034,가톨릭대학교성바오로병원,11100150,종합병원,지역응급의료센터,서울,"서울특별시 동대문구 왕산로 180, (전농동)",서울특별시,동대문구,서울특별시_동대문구,127.0435026,37.5792687
56,A2100012,가톨릭대학교성빈센트병원,31100058,종합병원,지역응급의료센터,경기,"경기도 수원시 팔달구 중부대로 93, (지동)",경기도,수원시,경기도_수원시,127.0274502,37.2778319
57,A1100011,가톨릭대학교여의도성모병원,11100028,종합병원,지역응급의료센터,서울,"서울특별시 영등포구 63로 10, (여의도동)",서울특별시,영등포구,서울특별시_영등포구,126.9360961,37.5179441
58,A2100029,강남병원,31100716,종합병원,지역응급의료센터,경기,"경기도 용인시 기흥구 중부대로 411, (신갈동)",경기도,용인시,경기도_용인시,127.1115733,37.2737805
59,A1100043,강동경희대학교의대병원,11101270,종합병원,지역응급의료센터,서울,"서울특별시 강동구 동남로 892, (상일동)",서울특별시,강동구,서울특별시_강동구,127.1573533,37.5530328
60,A2200009,강원대학교병원,32100213,종합병원,지역응급의료센터,강원,"강원도 춘천시 백령로 156, (효자동)",강원도,춘천시,강원도_춘천시,127.7445841,37.8748876
61,A2200007,강원도삼척의료원,32100060,종합병원,지역응급의료센터,강원,"강원도 삼척시 오십천로 418, (남양동)",강원도,삼척시,강원도_삼척시,129.1640091,37.4401864
62,A2200012,강원도속초의료원,32100141,종합병원,지역응급의료센터,강원,강원도 속초시 영랑호반길 3,강원도,속초시,강원도_속초시,128.5887079,38.2165369
63,A2300010,건국대학교의료원충주병원,33100136,종합병원,지역응급의료센터,충북,"충청북도 충주시 국원대로 82, (교현동)",충청북도,충주시,충청북도_충주시,127.9288211,36.9788872
64,A1400010,검단탑병원,31100970,종합병원,지역응급의료센터,인천,"인천광역시 서구 청마로19번길 5, (당하동)",인천광역시,서구,인천광역시_서구,126.6709124,37.5929338
65,A2100193,경기도의료원이천병원,31101151,종합병원,지역응급의료센터,경기,"경기도 이천시 경충대로 2742, (관고동)",경기도,이천시,경기도_이천시,127.4326846,37.2827654
66,A2100035,경기도의료원파주병원,31100325,종합병원,지역응급의료센터,경기,"경기도 파주시 중앙로 207, (금촌동)",경기도,파주시,경기도_파주시,126.7798547,37.7548407
67,A2100031,경기도의료원포천병원,31100317,종합병원,지역응급의료센터,경기,"경기도 포천시 포천로 1648, (신읍동)",경기도,포천시,경기도_포천시,127.1981213,37.9032122
68,A2100033,국민건강보험공단일산병원,31100678,종합병원,지역응급의료센터,경기,"경기도 고양시 일산동구 일산로 100, (백석동)",경기도,고양시,경기도_고양시,126.7931791,37.6456142
69,A2100053,김포우리병원,31101089,종합병원,지역응급의료센터,경기,"경기도 김포시 감암로 11, (걸포동)",경기도,김포시,경기도_김포시,126.710702,37.6323078
70,A1300009,대구파티마병원,37100033,종합병원,지역응급의료센터,대구,"대구광역시 동구 아양로 99, (신암동)",대구광역시,동구,대구광역시_동구,128.6239258,35.8841207
71,A2100025,대진의료재단분당제생병원,31100571,종합병원,지역응급의료센터,경기,"경기도 성남시 분당구 서현로180번길 20, (서현동)",경기도,성남시,경기도_성남시,127.1216317,37.3881037
72,A1700002,동강병원,38100088,종합병원,지역응급의료센터,울산,"울산광역시 중구 태화로 239, (태화동)",울산광역시,중구,울산광역시_중구,129.3020779,35.5536639
73,A2700003,동국대학교의과대학경주병원,37100203,종합병원,지역응급의료센터,경북,"경상북도 경주시 동대로 87, (석장동)",경상북도,경주시,경상북도_경주시,129.1946885,35.8581965
74,A2100047,동국대학교일산불교병원,31100881,종합병원,지역응급의료센터,경기,"경기도 고양시 일산동구 동국로 27, (식사동)",경기도,고양시,경기도_고양시,126.806397,37.6764101
75,A2600017,목포중앙병원,36100552,종합병원,지역응급의료센터,전남,"전라남도 목포시 영산로 623, (석현동)",전라남도,목포시,전라남도_목포시,126.4207694,34.8209866
76,A1200007,비에이치에스한서병원,21100551,종합병원,지역응급의료센터,부산,"부산광역시 수영구 수영로 615, (광안동)",부산광역시,수영구,부산광역시_수영구,129.1132002,35.1607723
77,A1100021,삼육서울병원,11100141,종합병원,지역응급의료센터,서울,"서울특별시 동대문구 망우로 82, (휘경동)",서울특별시,동대문구,서울특별시_동대문구,127.0642698,37.5880311
78,A1500020,서광병원,36100731,종합병원,지역응급의료센터,광주,"광주광역시 서구 금화로59번길 6, (금호동)",광주광역시,서구,광주광역시_서구,126.8557059,35.1325308
79,A1100040,서울특별시보라매병원,11100249,종합병원,지역응급의료센터,서울,"서울특별시 동작구 보라매로5길 20, (신대방동)",서울특별시,동작구,서울특별시_동작구,126.9243576,37.4932664
80,A1100035,서울특별시서울의료원,11101326,종합병원,지역응급의료센터,서울,"서울특별시 중랑구 신내로 156, (신내동)",서울특별시,중랑구,서울특별시_중랑구,127.0986633,37.6128791
81,A2600019,성가롤로병원,36100331,종합병원,지역응급의료센터,전남,"전라남도 순천시 순광로 221, (조례동)",전라남도,순천시,전라남도_순천시,127.5428935,34.964372
82,A1100028,성심의료재단강동성심병원,11100729,종합병원,지역응급의료센터,서울,"서울특별시 강동구 성안로 150, (길동,강동성심병원)",서울특별시,강동구,서울특별시_강동구,127.135334,37.5359699
83,A1100054,성애의료재단성애병원,11100397,종합병원,지역응급의료센터,서울,"서울특별시 영등포구 여의대방로53길 22, (신길동,성애병원)",서울특별시,영등포구,서울특별시_영등포구,126.9222777,37.5120882
84,A2100055,세종병원,31100121,종합병원,지역응급의료센터,경기,"경기도 부천시 소사구 호현로489번길 28, (소사본동,세종병원)",경기도,부천시,경기도_부천시,126.7915089,37.4812327
85,A1100004,순천향대학교서울병원,11100222,종합병원,지역응급의료센터,서울,"서울특별시 용산구 대사관로 59, (한남동)",서울특별시,용산구,서울특별시_용산구,127.0045029,37.5339664
86,A2700004,안동성소병원,37100114,종합병원,지역응급의료센터,경북,"경상북도 안동시 서동문로 99, (금곡동)",경상북도,안동시,경상북도_안동시,128.7229127,36.5676285
87,A2600014,여천전남병원,36100412,종합병원,지역응급의료센터,전남,"전라남도 여수시 무선로 95, (선원동)",전라남도,여수시,전라남도_여수시,127.6542568,34.7690473
88,A2100048,원광대학교의과대학산본병원,31100732,종합병원,지역응급의료센터,경기,"경기도 군포시 산본로 321, (산본동)",경기도,군포시,경기도_군포시,126.9336197,37.3594087
89,A1100048,을지병원,11101016,종합병원,지역응급의료센터,서울,"서울특별시 노원구 한글비석로 68, (하계동)",서울특별시,노원구,서울특별시_노원구,127.0699513,37.6364346
90,A2800014,의료법인갑을의료재단갑을장유병원,38100541,종합병원,지역응급의료센터,경남,"경상남도 김해시 장유로 167-13, (부곡동)",경상남도,김해시,경상남도_김해시,128.8056012,35.20863
91,A2200005,의료법인강릉동인병원,32100094,종합병원,지역응급의료센터,강원,"강원도 강릉시 강릉대로419번길 42, (포남동)",강원도,강릉시,강원도_강릉시,128.9071764,37.7743341
92,A2100007,의료법인광명성애병원,31100228,종합병원,지역응급의료센터,경기,"경기도 광명시 디지털로 36, (철산동)",경기도,광명시,경기도_광명시,126.8719846,37.4732253
93,A1200010,의료법인기독교한국침례회의료재단왈레스기념침례병원,21100047,종합병원,지역응급의료센터,부산,"부산광역시 금정구 금단로 200, (남산동)",부산광역시,금정구,부산광역시_금정구,129.0940623,35.2675253
94,A2100009,의료법인녹산의료재단동수원병원,31100180,종합병원,지역응급의료센터,경기,"경기도 수원시 팔달구 중부대로 165, (우만동)",경기도,수원시,경기도_수원시,127.0343772,37.2784473
95,A2100017,의료법인대아의료재단한도병원,31100899,종합병원,지역응급의료센터,경기,"경기도 안산시 단원구 선부광장로 103, (선부동)",경기도,안산시,경기도_안산시,126.8076153,37.3340482
96,A1600008,의료법인대전선병원,34100091,종합병원,지역응급의료센터,대전,"대전광역시 중구 목중로 29, (목동)",대전광역시,중구,대전광역시_중구,127.4102304,36.3360334
97,A2700012,의료법인덕산의료재단김천제일병원,37100416,종합병원,지역응급의료센터,경북,"경상북도 김천시 신음1길 12, (신음동)",경상북도,김천시,경상북도_김천시,128.1188209,36.1354534
98,A2700006,의료법인동춘의료재단문경제일병원,37100106,종합병원,지역응급의료센터,경북,"경상북도 문경시 당교3길 25, (모전동)",경상북도,문경시,경상북도_문경시,128.1889127,36.5843875
99,A1400003,의료법인루가의료재단나은병원,31100724,종합병원,지역응급의료센터,인천,"인천광역시 서구 원적로 23, (가좌동)",인천광역시,서구,인천광역시_서구,126.6797779,37.4890201
100,A2100028,의료법인백송의료재단굿모닝병원,31100775,종합병원,지역응급의료센터,경기,"경기도 평택시 중앙로 338, (합정동)",경기도,평택시,경기도_평택시,127.1205495,36.9907094
101,A2400009,의료법인백제병원,34100067,종합병원,지역응급의료센터,충남,"충청남도 논산시 시민로294번길 14, (취암동)",충청남도,논산시,충청남도_논산시,127.0945043,36.1924198
