시도,시군구,행정구역,연령별,항목,X2016
서울특별시,종로구,서울특별시_종로구,합계,총인구(명),154398
서울특별시,종로구,서울특별시_종로구,합계,총인구_남자(명),75620
서울특별시,종로구,서울특별시_종로구,합계,총인구_여자(명),78778
서울특별시,종로구,서울특별시_종로구,합계,총인구_성비,96
서울특별시,종로구,서울특별시_종로구,합계,내국인(명),144049
서울특별시,종로구,서울특별시_종로구,합계,내국인_남자(명),70844
서울특별시,종로구,서울특별시_종로구,합계,내국인_여자(명),73205
서울특별시,종로구,서울특별시_종로구,합계,내국인_성비,96.8
서울특별시,종로구,서울특별시_종로구,0~4세,총인구(명),4285
서울특별시,종로구,서울특별시_종로구,0~4세,총인구_남자(명),2208
서울특별시,종로구,서울특별시_종로구,0~4세,총인구_여자(명),2077
서울특별시,종로구,서울특별시_종로구,0~4세,총인구_성비,106.3
서울특별시,종로구,서울특별시_종로구,0~4세,내국인(명),4137
서울특별시,종로구,서울특별시_종로구,0~4세,내국인_남자(명),2130
서울특별시,종로구,서울특별시_종로구,0~4세,내국인_여자(명),2007
서울특별시,종로구,서울특별시_종로구,0~4세,내국인_성비,106.1
서울특별시,종로구,서울특별시_종로구,5~9세,총인구(명),4537
서울특별시,종로구,서울특별시_종로구,5~9세,총인구_남자(명),2338
서울특별시,종로구,서울특별시_종로구,5~9세,총인구_여자(명),2199
서울특별시,종로구,서울특별시_종로구,5~9세,총인구_성비,106.3
서울특별시,종로구,서울특별시_종로구,5~9세,내국인(명),4392
서울특별시,종로구,서울특별시_종로구,5~9세,내국인_남자(명),2261
서울특별시,종로구,서울특별시_종로구,5~9세,내국인_여자(명),2131
서울특별시,종로구,서울특별시_종로구,5~9세,내국인_성비,106.1
서울특별시,종로구,서울특별시_종로구,10~14세,총인구(명),5125
서울특별시,종로구,서울특별시_종로구,10~14세,총인구_남자(명),2638
서울특별시,종로구,서울특별시_종로구,10~14세,총인구_여자(명),2487
서울특별시,종로구,서울특별시_종로구,10~14세,총인구_성비,106.1
서울특별시,종로구,서울특별시_종로구,10~14세,내국인(명),5001
서울특별시,종로구,서울특별시_종로구,10~14세,내국인_남자(명),2573
서울특별시,종로구,서울특별시_종로구,10~14세,내국인_여자(명),2428
서울특별시,종로구,서울특별시_종로구,10~14세,내국인_성비,106
서울특별시,종로구,서울특별시_종로구,15~19세,총인구(명),10374
서울특별시,종로구,서울특별시_종로구,15~19세,총인구_남자(명),5352
서울특별시,종로구,서울특별시_종로구,15~19세,총인구_여자(명),5022
서울특별시,종로구,서울특별시_종로구,15~19세,총인구_성비,106.6
서울특별시,종로구,서울특별시_종로구,15~19세,내국인(명),9654
서울특별시,종로구,서울특별시_종로구,15~19세,내국인_남자(명),5098
서울특별시,종로구,서울특별시_종로구,15~19세,내국인_여자(명),4556
서울특별시,종로구,서울특별시_종로구,15~19세,내국인_성비,111.9
서울특별시,종로구,서울특별시_종로구,20~24세,총인구(명),14209
서울특별시,종로구,서울특별시_종로구,20~24세,총인구_남자(명),6698
서울특별시,종로구,서울특별시_종로구,20~24세,총인구_여자(명),7511
서울특별시,종로구,서울특별시_종로구,20~24세,총인구_성비,89.2
서울특별시,종로구,서울특별시_종로구,20~24세,내국인(명),12024
서울특별시,종로구,서울특별시_종로구,20~24세,내국인_남자(명),5931
서울특별시,종로구,서울특별시_종로구,20~24세,내국인_여자(명),6093
서울특별시,종로구,서울특별시_종로구,20~24세,내국인_성비,97.3
서울특별시,종로구,서울특별시_종로구,25~29세,총인구(명),13185
서울특별시,종로구,서울특별시_종로구,25~29세,총인구_남자(명),6881
서울특별시,종로구,서울특별시_종로구,25~29세,총인구_여자(명),6304
서울특별시,종로구,서울특별시_종로구,25~29세,총인구_성비,109.2
서울특별시,종로구,서울특별시_종로구,25~29세,내국인(명),11887
서울특별시,종로구,서울특별시_종로구,25~29세,내국인_남자(명),6262
서울특별시,종로구,서울특별시_종로구,25~29세,내국인_여자(명),5625
서울특별시,종로구,서울특별시_종로구,25~29세,내국인_성비,111.3
서울특별시,종로구,서울특별시_종로구,30~34세,총인구(명),11082
서울특별시,종로구,서울특별시_종로구,30~34세,총인구_남자(명),5672
서울특별시,종로구,서울특별시_종로구,30~34세,총인구_여자(명),5410
서울특별시,종로구,서울특별시_종로구,30~34세,총인구_성비,104.8
서울특별시,종로구,서울특별시_종로구,30~34세,내국인(명),10070
서울특별시,종로구,서울특별시_종로구,30~34세,내국인_남자(명),5145
서울특별시,종로구,서울특별시_종로구,30~34세,내국인_여자(명),4925
서울특별시,종로구,서울특별시_종로구,30~34세,내국인_성비,104.5
서울특별시,종로구,서울특별시_종로구,35~39세,총인구(명),10226
서울특별시,종로구,서울특별시_종로구,35~39세,총인구_남자(명),5067
서울특별시,종로구,서울특별시_종로구,35~39세,총인구_여자(명),5159
서울특별시,종로구,서울특별시_종로구,35~39세,총인구_성비,98.2
서울특별시,종로구,서울특별시_종로구,35~39세,내국인(명),9527
서울특별시,종로구,서울특별시_종로구,35~39세,내국인_남자(명),4654
서울특별시,종로구,서울특별시_종로구,35~39세,내국인_여자(명),4873
서울특별시,종로구,서울특별시_종로구,35~39세,내국인_성비,95.5
서울특별시,종로구,서울특별시_종로구,40~44세,총인구(명),11374
서울특별시,종로구,서울특별시_종로구,40~44세,총인구_남자(명),5651
서울특별시,종로구,서울특별시_종로구,40~44세,총인구_여자(명),5723
서울특별시,종로구,서울특별시_종로구,40~44세,총인구_성비,98.7
서울특별시,종로구,서울특별시_종로구,40~44세,내국인(명),10648
서울특별시,종로구,서울특별시_종로구,40~44세,내국인_남자(명),5231
서울특별시,종로구,서울특별시_종로구,40~44세,내국인_여자(명),5417
서울특별시,종로구,서울특별시_종로구,40~44세,내국인_성비,96.6
서울특별시,종로구,서울특별시_종로구,45~49세,총인구(명),13005
서울특별시,종로구,서울특별시_종로구,45~49세,총인구_남자(명),6356
서울특별시,종로구,서울특별시_종로구,45~49세,총인구_여자(명),6649
서울특별시,종로구,서울특별시_종로구,45~49세,총인구_성비,95.6
서울특별시,종로구,서울특별시_종로구,45~49세,내국인(명),12215
서울특별시,종로구,서울특별시_종로구,45~49세,내국인_남자(명),5937
서울특별시,종로구,서울특별시_종로구,45~49세,내국인_여자(명),6278
서울특별시,종로구,서울특별시_종로구,45~49세,내국인_성비,94.6
서울특별시,종로구,서울특별시_종로구,50~54세,총인구(명),12342
서울특별시,종로구,서울특별시_종로구,50~54세,총인구_남자(명),6188
