시도,시군구,행정구역,계_연장,계_면적,광로_연장,광로_면적,대로_연장,대로_면적,중로_연장,중로_면적,소로_연장,소로_명적
전국,소계,전국_소계,112679147,1795066905,3942723,172306930,18412710,552560620,33098804,591983033,57224910,478216322
서울특별시,소계,서울특별시_소계,8151092,88300681,608730,14196354,1707174,34430238,1337436,17741768,4497752,21932321
서울특별시,종로구,서울특별시_종로구,136338,3293651,20888,1293940,37899,1138498,36136,582969,41415,278244
서울특별시,중구,서울특별시_중구,114135,1927257,7593,321840,17001,617820,38410,622973,51131,364624
서울특별시,용산구,서울특별시_용산구,195425,3247708,9135,392811,38997,1366058,40205,688350,107088,800489
서울특별시,성동구,서울특별시_성동구,114288,2459253,4506,280940,36520,1204604,40335,714060,32927,259649
서울특별시,광진구,서울특별시_광진구,315872,4755064,2050,99700,69286,2612785,11923,194181,232613,1848398
서울특별시,동대문구,서울특별시_동대문구,108238,1983269,1800,90000,34389,972046,34290,614849,37759,306374
서울특별시,중랑구,서울특별시_중랑구,190701,2842984,0,0,48824,1450886,39648,674955,102229,717143
서울특별시,성북구,서울특별시_성북구,323357,6312910,350,52500,117602,3974395,104723,1519664,100682,766351
서울특별시,강북구,서울특별시_강북구,98831,1249048,490,19600,15583,394890,28208,474802,54550,359756
서울특별시,도봉구,서울특별시_도봉구,177913,1834392,5760,236000,15278,327085,8944,243777,147931,1027530
서울특별시,노원구,서울특별시_노원구,150112,2558441,0,0,45770,1427000,31051,545500,73291,585941
서울특별시,은평구,서울특별시_은평구,116283,1435269,2481,99248,26779,445197,43388,560288,43635,330536
서울특별시,서대문구,서울특별시_서대문구,192081,3512063,12980,523700,65505,1989765,27832,391598,85764,607000
서울특별시,마포구,서울특별시_마포구,446870,4768492,10788,434200,48109,1618811,55905,1055607,332068,1659874
서울특별시,양천구,서울특별시_양천구,3338969,3340125,303000,303000,657500,657500,252273,253429,2126196,2126196
서울특별시,강서구,서울특별시_강서구,233293,4759056,26106,1057867,63948,2123999,50703,873266,92536,703924
서울특별시,구로구,서울특별시_구로구,136314,6441540,46896,2011340,17272,2344175,28010,536850,44136,1549175
서울특별시,금천구,서울특별시_금천구,98427,2586086,3050,122000,39611,1514195,44424,851787,11342,98104
서울특별시,영등포구,서울특별시_영등포구,168938,3623239,11887,593491,57127,1707745,45834,923012,54090,398991
서울특별시,동작구,서울특별시_동작구,182864,3915814,8710,409200,38427,1175305,57216,1054059,78511,1277250
서울특별시,관악구,서울특별시_관악구,326651,3606029,17404,812360,26335,584882,34549,606565,248363,1602222
서울특별시,서초구,서울특별시_서초구,168891,3906621,37890,1642118,37194,1113586,40863,731276,52944,419641
서울특별시,강남구,서울특별시_강남구,333368,6054509,38720,1692260,54870,1463657,52873,1031276,186905,1867316
서울특별시,송파구,서울특별시_송파구,294586,4254688,21956,1094239,64055,1323419,102968,1049256,105607,787774
서울특별시,강동구,서울특별시_강동구,188347,3633173,14290,614000,33293,881935,86725,947419,54039,1189819
부산광역시,소계,부산광역시_소계,3572561,58454922,194701,8618935,571910,18498446,1235405,18933220,1570545,12404321
부산광역시,부산광역시,부산광역시_부산광역시,746555,26246093,191916,8457405,540181,17500454,14373,287195,85,1039
부산광역시,중구,부산광역시_중구,20526,212255,0,0,0,0,8355,132130,12171,80125
부산광역시,서구,부산광역시_서구,80309,823026,0,0,0,0,42274,555710,38035,267316
부산광역시,동구,부산광역시_동구,83164,922664,0,0,0,0,46352,684520,36812,238144
부산광역시,영도구,부산광역시_영도구,88535,977984,0,0,0,0,30833,530401,57702,447583
부산광역시,부산진구,부산광역시_부산진구,228231,2381113,0,0,0,0,70210,1140776,158021,1240337
부산광역시,동래구,부산광역시_동래구,90445,913841,0,0,0,0,52573,612863,37872,300978
부산광역시,남구,부산광역시_남구,103237,1313736,0,0,0,0,53483,910358,49754,403378
부산광역시,북구,부산광역시_북구,106012,1234964,0,0,0,0,43015,731273,62997,503691
부산광역시,해운대구,부산광역시_해운대구,157410,1807303,0,0,0,0,95207,1295770,62203,511533
부산광역시,사하구,부산광역시_사하구,161864,1889567,0,0,0,0,64869,1121903,96995,767664
부산광역시,금정구,부산광역시_금정구,199661,2210998,0,0,0,0,77487,1173719,122174,1037279
부산광역시,강서구,부산광역시_강서구,577368,7370948,2785,161530,31729,997992,261808,3946927,281046,2264499
부산광역시,연제구,부산광역시_연제구,52200,566010,0,0,0,0,30404,389182,21796,176828
부산광역시,수영구,부산광역시_수영구,126559,1226438,0,0,0,0,39962,647615,86597,578823
부산광역시,사상구,부산광역시_사상구,164644,1727940,0,0,0,0,43610,754992,121034,972948
부산광역시,기장군,부산광역시_기장군,585841,6630042,0,0,0,0,260590,4017886,325251,2612156
대구광역시,소계,대구광역시_소계,3508085,58617293,231398,11011436,634744,19858977,835282,13936623,1806661,13810257
대구광역시,대구광역시,대구광역시_대구광역시,1204724,37724481,231398,11011436,633628,19801977,339698,6911068,0,0
대구광역시,중구,대구광역시_중구,91335,859971,0,0,1116,57000,20341,277910,69878,525061
대구광역시,동구,대구광역시_동구,440467,3991473,0,0,0,0,117141,1591595,323326,2399878
대구광역시,서구,대구광역시_서구,153337,1342282,0,0,0,0,12614,179841,140723,1162441
대구광역시,남구,대구광역시_남구,134558,1158255,0,0,0,0,22876,328740,111682,829515
대구광역시,북구,대구광역시_북구,339382,3036403,0,0,0,0,68778,947468,270604,2088935
대구광역시,수성구,대구광역시_수성구,213870,1890115,0,0,0,0,47876,651319,165994,1238796
대구광역시,달서구,대구광역시_달서구,332593,3044487,0,0,0,0,69014,979168,263579,2065319
