"manicipality","id","oldRatio","emergencyMedicalObs","under_12m","resRatio_2016","comRatio_2016","indRatio_2016"
"강원도_강릉시",1,17.0981169291175,4,0.399459199,19.88,2.16,6.45
"강원도_고성군",2,23.2093568865581,0,0.518125933,24.21,3.17,1.56
"강원도_동해시",3,16.415159672501,2,0.529337725,10.59,1.76,6.95
"강원도_삼척시",4,20.2669972896603,1,0.632648592,12.62,1.28,8.93
"강원도_속초시",5,15.9855389399436,1,0.459073192,14.86,5.51,2.59
"강원도_양구군",6,17.5870668923132,1,0.891609586,37.97,4.42,1.69
"강원도_양양군",7,26.5329178028827,0,0.454296423,21.03,3.51,0.2
"강원도_영월군",8,25.205975309976,1,0.190477587,13.24,2.1,4.08
"강원도_원주시",9,12.3607691145227,3,0.560302773,28.9,2.77,7.27
"강원도_인제군",10,17.6436165024871,0,0.736468043,22.99,3.75,1.47
"강원도_정선군",11,22.9790522451908,1,0.79447701,11.83,2.63,1.44
"강원도_철원군",12,19.0940505799749,1,0.70065399,23.31,2.8,1.52
"강원도_춘천시",13,14.532535765139,2,0.492217474,6.36,0.5,0.82
"강원도_태백시",14,19.4561127154984,1,0.50672737,12.64,1.91,2.08
"강원도_평창군",15,23.044230294045,1,0.31051201,28.1,2.89,0
"강원도_홍천군",16,21.571768651465,1,0.762431267,13,1.26,3.24
"강원도_화천군",17,18.5132957292506,1,0.492689122,17.12,2.09,0.2
"강원도_횡성군",18,25.0425140354555,1,0.742965411,25.95,3.83,11.83
"경기도_가평군",19,21.5049418262026,1,0.643670657,7.1,0.59,0.07
"경기도_고양시",20,11.3029953017622,5,0.426444988,19.01,2.86,0.03
"경기도_과천시",21,12.187515388277,0,0.540073564,11,0.51,0
"경기도_광명시",22,10.7219442458899,1,0.513132889,24.25,3.94,0.29
"경기도_광주시",23,10.5885163604321,1,0.425822994,6.14,0.19,0.25
"경기도_구리시",24,10.7196650444523,1,0.47277301,21.22,2.19,0
"경기도_군포시",25,10.098100252901,2,0.449724922,21.77,1.8,6.44
"경기도_김포시",26,10.7851928807721,3,0.294885208,18.65,1.96,4.5
"경기도_남양주시",27,11.7503573159764,2,0.348791189,16.03,0.59,0.23
"경기도_동두천시",28,16.4025348542459,0,0.48242456,17.4,3.13,2.99
"경기도_부천시",29,10.2884568677188,5,0.617208647,43.24,6.4,8.5
"경기도_성남시",30,11.3754022519805,6,0.422292556,20.8,3.64,1.29
"경기도_수원시",31,8.62926583553709,5,0.508530834,36.76,4.84,3.4
"경기도_시흥시",32,7.63438080131184,3,0.441259295,16.69,1.39,7.95
"경기도_안산시",33,8.04565371861677,4,0.451313241,15.37,1.95,11.14
"경기도_안성시",34,13.6900214909198,1,0.315702595,6.42,0.71,3.38
"경기도_안양시",35,10.4400145004974,2,0.537872538,28.66,3.64,5.52
"경기도_양주시",36,12.9004052963881,1,0.307836268,17.74,0.44,2.09
"경기도_양평군",37,21.1987626408347,1,0.694419313,6.39,0.62,0.17
"경기도_여주시",38,17.3714327169842,1,0.587371803,9.49,0.85,3.57
"경기도_연천군",39,22.0154375857956,1,0.434894177,13.61,1.58,3.03
"경기도_오산시",40,7.58638932976916,1,0.383389259,25.57,2.53,5.54
"경기도_용인시",41,11.0854985293968,4,0.432345835,9.44,1.01,1.14
"경기도_의왕시",42,10.8390993887873,0,0.449527239,11.8,0.52,2.1
"경기도_의정부시",43,12.7619949049025,4,0.520354212,20.68,1.91,0.47
"경기도_이천시",44,11.5716640436568,1,0.367119843,8.01,0.8,3.99
"경기도_파주시",45,11.9127647379333,1,0.259014983,27.26,2.73,9.49
"경기도_평택시",46,10.7550174270626,3,0.305816086,26.61,4.08,19.9
"경기도_포천시",47,14.4679098698202,1,0.440979321,22.25,1.45,5.89
"경기도_하남시",48,11.3185823499913,0,0.480157024,14.75,1.17,0.23
"경기도_화성시",49,7.82574196993973,2,0.407506909,16.4,1.9,4.76
"경상남도_거제시",50,7.72588654909387,3,0.294572125,12.33,1.76,8.94
"경상남도_거창군",51,24.6183520722741,1,0.174322945,15.28,1.09,3.97
"경상남도_고성군",52,26.0847467198765,1,0.624971023,11.36,0.78,27.69
"경상남도_김해시",53,8.8894601735371,3,0.469133383,13.53,1.59,5.7
"경상남도_남해군",54,34.4013955196475,1,0.887987266,10.72,1.56,0
"경상남도_밀양시",55,23.4844767704756,0,0.520411355,15.93,1.43,6.35
"경상남도_사천시",56,18.625549406552,2,0.62894891,12.79,1.39,11.18
"경상남도_산청군",57,33.0697467792092,1,0.566882031,19.47,2.29,3.48
"경상남도_양산시",58,11.0680942680325,3,0.532362902,9.16,0.92,4.48
"경상남도_의령군",59,33.8678109003312,1,0.744654234,12.07,1.43,6.34
"경상남도_진주시",60,13.7950777620625,6,0.415564921,7.04,1.14,2.05
"경상남도_창녕군",61,26.3782894206102,1,0.36163286,11.06,1.3,5.4
"경상남도_창원시",62,10.9617854285175,8,0.529284257,12.3,2.18,8.68
"경상남도_통영시",63,14.8895504833315,1,0.608044604,16.83,1.96,9.94
"경상남도_하동군",64,30.9763926514444,1,0.409611011,9.78,2.9,48.24
"경상남도_함안군",65,19.4959229058562,1,0.291122172,11.89,1.22,19.04
"경상남도_함양군",66,31.0589347620548,1,0.72077345,12.43,1.57,4.24
"경상남도_합천군",67,36.4480861844658,1,0.340490345,13.89,1.29,0
"경상북도_경산시",68,12.9990598782489,2,0.463886582,15.4,1.49,8.55
"경상북도_경주시",69,18.0554022734797,1,0.501205933,4.74,0.63,5.22
"경상북도_고령군",70,25.4810425831164,1,0.516038083,8.92,0.45,9.54
"경상북도_구미시",71,7.37713653706331,4,0.400556943,14.73,1.92,15.32
